警告：Tool:rup_rose_rt: 未发布空的内容类别元素。
警告：Discipline:rup_deployment_discipline: 未发布空的内容类别元素。
警告：Domain:deployment: 未发布空的内容类别元素。
警告：CustomCategory:g_reports: 未发布空的内容类别元素。
警告：Tool:rup_rational_application_developer: 未发布空的内容类别元素。
警告：Tool:rup_rational_software_architect: 未发布空的内容类别元素。
警告：Artifact:rup_project_measurements: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:types_of_requirements: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_requirements_attributes: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:traceability: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:manage_dependencies: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Concept:types_of_requirements
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Concept:traceability
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Task:manage_dependencies
警告：Activity:manage_the_scope_of_the_system: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:manage_changing_requirements: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:manage_changing_requirements: 缺少被引用元素 Concept:traceability
警告：Activity:manage_changing_requirements: 缺少被引用元素 Task:manage_dependencies
警告：Activity:manage_changing_requirements: 缺少被引用元素 Concept:traceability
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Task:define_testability_elements: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:manage_iteration: 缺少被引用元素 Task:iteration_acceptance_review
警告：Activity:manage_iteration: 缺少被引用元素 Artifact:rup_test_plan
警告：Task:iteration_acceptance_review: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Guideline:metrics: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:lifecycle_milestone_review: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：WorkProductDescriptor:rup_project_repository: 缺少被引用元素 Artifact:rup_cm_plan
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Activity:plan_the_project: 缺少被引用元素 Task:compile_software_development_plan
警告：Activity:plan_the_project: 缺少被引用元素 Artifact:rup_development_case
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Task:prepare_project_specific_guidelines: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_project_specific_guidelines: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_capsule: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：Artifact:rup_protocol: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:design_components: 缺少被引用元素 Task:capsule_design
警告：Task:capsule_design: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:create_development_workspace: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:make_changes_to_configuration_items: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:deliver_changes: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:update_workspace: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：WorkProductDescriptor:rup_implementation_element: 缺少被引用元素 Guideline:implementation_element
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：Task:create_baseline: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:promote_baseline: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_case
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_script
警告：WorkProductDescriptor:rup_test_ideas_list: 缺少被引用元素 Artifact:rup_test_plan
警告：Task:project_acceptance_review: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_case: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_script: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_data: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_workload_analysis_model: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_class: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_component: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:stubs: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_automation_architecture: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_interface_specification: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:performance_testing: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:acceptance_testing: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：CapabilityPattern:deployment: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:define_assessment_and_traceability_needs: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:analyze_the_problem: 缺少被引用元素 Artifact:rup_requirements_management_plan
警告：Activity:analyze_the_problem: 缺少被引用元素 Concept:types_of_requirements
警告：Activity:analyze_the_problem: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:analyze_the_problem: 缺少被引用元素 Concept:traceability
警告：Activity:analyze_the_problem: 缺少被引用元素 Task:develop_rm_plan
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Activity:understand_stakeholder_needs: 缺少被引用元素 Artifact:rup_requirements_attributes
警告：Activity:understand_stakeholder_needs: 缺少被引用元素 Concept:traceability
警告：Activity:understand_stakeholder_needs: 缺少被引用元素 Task:manage_dependencies
警告：RoleDescriptor:rup_system_analyst: 缺少被引用元素 Role:rup_deployment_manager
警告：Activity:define_the_system: 缺少被引用元素 Concept:traceability
警告：Activity:define_the_system: 缺少被引用元素 Task:manage_dependencies
警告：Role:rup_deployment_manager: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_requirements_management_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:establish_project_change_control_process: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:close-out_phase: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Activity:close-out_project: 缺少被引用元素 Task:project_acceptance_review
警告：Report:use-case_model_survey: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:actor_report_-_actor_name: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:use_case_specification_use-case_name: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:design-model_survey: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:use-case_realization_use-case_name: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:class_report_class_name: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Report:design_package_subsystem: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：WorkProductDescriptor:rup_project_repository: 缺少被引用元素 Artifact:rup_cm_plan
警告：WorkProductDescriptor:rup_project_repository: 缺少被引用元素 Artifact:rup_cm_plan
警告：Artifact:rup_cm_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_tools: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_project_specific_templates: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_manual_styleguide: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_environment_configuration: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：TaskDescriptor:define_project_organization_and_staffing: 缺少被引用元素 Guideline:software_development_plan
警告：TaskDescriptor:plan_phases_and_iterations: 缺少被引用元素 Guideline:software_development_plan
警告：TaskDescriptor:plan_phases_and_iterations: 缺少被引用元素 Guideline:software_development_plan
警告：Artifact:rup_configuration_audit_findings: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_workspace: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_support_material: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Guideline:assessment_workshop: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Role:rup_tool_specialist: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_software_development_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_measurement_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_product_acceptance_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_quality_assurance_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_risk_management_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：TaskDescriptor:structure_implementation_model: 缺少被引用元素 Artifact:rup_project_specific_guidelines
警告：Guideline:implementation_element: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Guideline:capsule: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_deployment_unit: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_release_notes: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Role:rup_technical_writer: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Role:rup_course_developer: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:beta_test_product: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:manage_acceptance_test: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Activity:develop_support_material: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:develop_development_case: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Discipline:rup_business_modeling_discipline: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_deployment_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_product: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Guideline:test_data: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Milestone:Inception Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Elaboration Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Construction Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Transition Milestone: 缺少被引用元素 Task:lifecycle_milestone_review
警告：Milestone:Transition Milestone: 缺少被引用元素 Task:project_acceptance_review
警告：DeliveryProcess:classic_rup: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:compile_software_development_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_development_case: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:types_of_requirements: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_requirements_attributes: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Concept:traceability: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:manage_dependencies: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_test_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:develop_rm_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:lifecycle_milestone_review: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Task:project_acceptance_review: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Guideline:software_development_plan: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
警告：Artifact:rup_project_specific_guidelines: IUPP0003W: 元素未发布，因为它不是配置中的有效元素。
